code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
FIDS,FNB Inc,27.0,14,11,11,16,6,11,5,74,3.0,80.0,Strong,Enter w/ confidence,60,1.6,1.6,2.1,67.5,0,,Financial Services,18035596.0,0.0
WTBA,West Bancorporation,24.24,15,10,11,14,9,6,4,69,4.0,76.0,Strong,Enter w/ confidence,52,2.8,2.5,1.8,55.4,0,,Financial Services,412761152.0,38941.93
KRG,Kite Realty Group Trust,27.88,16,11,6,16,7,9,5,70,6.0,76.0,Strong,Enter w/ confidence,75,3.6,3.1,3.3,68.0,0,,Real Estate,5796701696.0,1877388.58
MDIBY,Mediobanca Banca di Credito Finanziario SpA ADR,27.74,19,8,5,16,6,12,5,71,4.0,75.0,Strong,Enter w/ confidence,72,10.5,15.9,12.2,75.1,2,,Financial Services,22534500352.0,9075.94
FHB,First Hawaiian Inc,27.54,17,10,11,14,6,9,4,71,2.0,74.0,Strong,Enter w/ confidence,56,3.6,0.7,2.0,57.8,0,,Financial Services,3353862144.0,1398271.37
STEL,"Stellar Bancorp, Inc.",37.64,17,10,9,14,7,11,4,72,2.0,74.0,Strong,Enter w/ confidence,64,2.3,0.5,0.9,55.0,0,,Financial Services,1916654976.0,348121.33
PEB-PE,Pebblebrook Hotel Trust,20.11,18,13,8,13,8,11,4,75,-1.0,72.0,Strong,Enter w/ confidence,60,0.1,1.4,0.8,56.5,1,,Real Estate,2997099520.0,8176.12
KIM,Kimco Realty Corporation,24.24,14,14,4,15,7,11,5,70,2.0,72.0,Strong,Enter w/ confidence,66,2.5,0.5,1.5,59.1,0,,Real Estate,16347207680.0,4870483.15
MYE,Myers Industries Inc,24.61,16,11,5,16,6,12,5,71,0.0,72.0,Strong,Enter w/ confidence,70,8.5,10.5,7.6,66.6,2,,Consumer Cyclical,924285696.0,251832.15
CNK,Cinemark Holdings Inc,31.45,18,9,8,15,7,9,5,71,1.0,72.0,Strong,Enter w/ confidence,62,1.4,19.0,8.9,68.4,2,,Communication Services,3672975104.0,2958458.31
BY,Byline Bancorp Inc,33.91,16,9,9,15,7,8,4,68,1.0,72.0,Strong,Enter w/ confidence,68,3.4,2.2,2.4,60.5,0,,Financial Services,1558899968.0,207158.33
CASS,Cass Information Systems Inc,47.28,15,10,9,14,9,7,3,67,2.0,72.0,Strong,Enter w/ confidence,63,1.7,3.6,1.5,55.8,0,,Industrials,608547904.0,79954.72
NPO,Enpro Industries,322.82,15,12,10,10,6,11,5,69,3.0,72.0,Strong,Enter w/ confidence,67,5.7,4.7,4.1,61.3,1,,Industrials,6820109824.0,200393.5
CLBK,Columbia Financial Inc,20.75,17,9,9,15,6,12,5,73,-2.0,71.0,Strong,Enter w/ confidence,72,4.3,1.9,4.1,65.5,0,,Financial Services,2109042304.0,210054.09
OSBC,Old Second Bancorp Inc,21.71,18,10,8,14,7,7,4,68,2.0,71.0,Strong,Enter w/ confidence,65,3.0,3.0,2.6,59.2,0,,Financial Services,1116596736.0,351753.49
YXI,ProShares Short FTSE China 50,22.72,17,12,6,14,6,10,5,70,1.0,71.0,Strong,Enter w/ confidence,66,2.7,3.3,3.8,63.8,0,,nan,nan,11578.93
ALH,Alliance Laundry Holdings Inc.,25.77,16,14,8,15,6,7,4,70,3.0,71.0,Strong,Enter w/ confidence,62,1.7,4.0,3.2,61.2,0,,Consumer Cyclical,4975146496.0,0.0
JUMSY,Jumbo SA ADR,28.16,16,14,5,15,6,5,5,66,4.0,71.0,Strong,Enter w/ confidence,37,3.5,10.9,4.3,57.2,2,,Consumer Cyclical,3783734272.0,0.0
